Name,House_Rent,Area,Deposit,Bedroom,Bathroom,Balcony,Building_age,Avability,Tenant,Parking,Water_Supplier,Floor,Furniture_Status,Facing,Gate_Security,Ad_posted
2 BHK Flat  In Palas Coop Housing Society Wakad  for Rent  In Wakad,"32,000/M","1,200Sq.Ft","1,00,000",2,2,2,>10 Years ,Immediately ,Family,Car,Both,03-Jul,Full,East,Yes,09-Oct-23
2 BHK Flat  In Yash One Wakad Central  for Rent  In Phoenix Millennium Mall,"25,000/M",750Sq.Ft,"70,000",2,2,2,Newly Constructed ,Immediately ,Family,Car,Corporation,13/22,Semi,East,Yes,09-Oct-23
"1 BHK Flat  In Bhagwati Royale, Aundh for Rent  In Nakoda Jewellers","18,000/M",550Sq.Ft,"50,000",1,1,1,5-10 Years ,15-Oct-23,Family,Car,Both,02-Aug,Semi,East,Yes,08-Oct-23
"1 BHK Flat  In Bajirao Apartment for Rent  In Pimpri-chinchwad,","10,000/M",550Sq.Ft,"20,000",1,1,NA,>10 Years ,Immediately ,Anyone,Bike and Car,Borewell,0/4,Unfurnished,North,No,10-Oct-23
2 BHK Flat  In Bhandari Latitude for Rent  In Wakad,"27,000/M","1,150Sq.Ft","60,000",2,2,1,5-10 Years ,01-Nov-23,Family,Bike and Car,Both,08-Nov,Semi,NA,Yes,10-Oct-23
"2 BHK Flat  In Pride Purple Topaz Park, Wakad for Rent  In Topaz Park","30,000/M","1,052Sq.Ft","90,000",2,2,1,>10 Years ,Immediately ,Family,Car,Both,01-Jul,Semi,East,Yes,09-Oct-23
"2 BHK Flat  In Kalpataru Harmony for Rent  In Kaspate Wasti,wakad","29,000/M","1,166Sq.Ft","75,000",2,2,NA,5-10 Years ,Immediately ,Family,Bike and Car,NA,Feb-13,Semi,East,Yes,06-Oct-23
1 BHK House  for Rent  In Santosh Nagar,"13,500/M",650Sq.Ft,"20,000",1,1,1,5-10 Years ,Immediately ,Anyone,Bike,Corporation,01-Jan,Semi,Don't Know,Yes,05-Oct-23
1 RK Flat  for Rent  In Wakad,"8,000/M",450Sq.Ft,"16,000",1,1,NA,Newly Constructed ,20-Oct-23,Family,Bike,NA,02-Mar,Unfurnished,NA,Yes,06-Oct-23
3 BHK House  for Rent  In Wakad,"22,000/M","1,200Sq.Ft","40,000",3,1,2,5-10 Years ,Immediately ,"Family, Female",Car,Corporation,01-Feb,Semi,South,No,08-Oct-23
2 BHK Flat  In Sukhwani Skylines for Rent  In Sukhwani Skylines,"28,000/M",512Sq.Ft,"56,000",2,2,NA,Newly Constructed ,Immediately ,Family,Car,Both,Apr-14,Full,East,Yes,09-Oct-23
1 RK House  for Rent  In Wakad,"8,000/M",400Sq.Ft,"20,000",1,1,NA,Newly Constructed ,30-Nov-23,"Female, Family, Company",None,Borewell,03-Mar,Unfurnished,East,Yes,06-Oct-23
2 BHK Flat  In Vtp Hilife for Rent  In Wakad,"27,000/M",751Sq.Ft,"50,000",2,2,NA,Newly Constructed ,Immediately ,Family,Bike and Car,Both,Sep-20,Semi,East,Yes,09-Oct-23
1 BHK In Ashok Nagar for Rent  In Wakad,"4,000/M",500Sq.Ft,"4,991",1,1,1,>10 Years ,15-Oct-23,Family,Bike,Both,01-Apr,Unfurnished,North,No,08-Oct-23
