Name,House_Price,Area,Apartment_Name,Bedroom,Bathroom,Balcony,Age of Building,Ownership Type,Avability,Maintenance Charges,Floor,Builtup Area,Carpet Area,Parking,Power_Supply,Furnishing Status,Facing,Gated Security,Ad_posted
2 BHK Flat  In Mi Casa Bella For Sale  In Wakad,62 Lacs,864,Mi Casa Bella ,2,2,1,5-10 years,On Lease 1 years,31-Oct-23,2.3 per sq.ft/m,06-Jun,864 sq.ft,665 sq.ft,Bike,Partial ,Unfurnished,East,Yes,10-Oct-23
2 BHK Flat  In Siddhi Nisarg Housing Society For Sale  In Wakad,78 Lacs,950,Siddhi Nisarg Housi... ,2,2,2,>10 years,Self Owned,16-Oct-23,2.6 per sq.ft/m,04-Jul,950 sq.ft,720 sq.ft,Bike and Car,Partial ,Semi,East,Yes,10-Oct-23
2 BHK Flat  In Millennium Acropolis For Sale  In Wakad,87 Lacs,915,Millennium Acropolis ,2,2,3,3-5 years,Self Owned,16-Oct-23,3.3 per sq.ft/m,03-Nov,915 sq.ft,680 sq.ft,Bike and Car,Full ,Semi,East,Yes,10-Oct-23
2 BHK Flat  In Kalpataru Splendour For Sale  In Euro School Wakad,1.03 Crores,"1,300",Kalpataru Splendour ,2,2,3,5-10 years,Self Owned,Immediately ,3.3 per sq.ft/m,Jan-13,"1,300 sq.ft","1,046 sq.ft",Bike and Car,Partial ,Semi,East,Yes,10-Oct-23
2 BHK Flat  In Sri Ganesh Imperia For Sale  In Wakad,77 Lacs,948,Sri Ganesh Imperia ,2,2,1,5-10 years,Self Owned,16-Oct-23,3.0 per sq.ft/m,02-Oct,948 sq.ft,713 sq.ft,Bike and Car,None ,Unfurnished,East,Yes,10-Oct-23
2 BHK Flat  In Mark 1 Society For Sale  In Wakad ,80 Lacs,"1,034",Mark 1 Society ,2,2,2,5-10 years,Self Owned,16-Oct-23,1.9 per sq.ft/m,02-Jun,"1,034 sq.ft",878 sq.ft,Bike and Car,Partial ,Semi,East,Yes,10-Oct-23
2 BHK Flat  In Sanskriti Society For Sale  In Wakad,90 Lacs,"1,164",Sanskriti Society ,2,2,1,>10 years,Self Owned,Immediately ,2.1 per sq.ft/m,09-Dec,"1,164 sq.ft",837 sq.ft,Car,Partial ,Semi,East,Yes,10-Oct-23
"1 BHK Flat  In Aswani Galaxy, Wakad For Sale  In Wakad",52 Lacs,600,"Aswani Galaxy, Wakad ",1,2,1,Newly Constructed,Self Owned,30-Oct-23,2.5 per sq.ft/m,07-Nov,600 sq.ft,458 sq.ft,Bike and Car,Partial ,Semi,East,Yes,09-Oct-23
2 BHK Flat  In Mittal Brothers Whistling Palms For Sale  In Wakad,73.5 Lacs,"1,000",Mittal Brothers Whi... ,2,4,2,>10 years,Self Owned,Immediately ,2.8 per sq.ft/m,01-Jul,"1,000 sq.ft",750 sq.ft,Bike and Car,Full ,Semi,North,Yes,09-Oct-23
2 BHK Flat  For Sale  In Bhumkar Chowk,68 Lacs,910,Standalone Building ,2,2,2,5-10 years,Self Owned,Immediately ,NA,04-May,910 sq.ft,700 sq.ft,Car,Full ,Semi,East,Yes,09-Oct-23
2 BHK Flat  In Sai Elite Chs  For Sale  In Pimpri-chinchwad,85 Lacs,896,Sai Elite Chs ,2,2,1,5-10 years,Self Owned,Immediately ,2.6 per sq.ft/m,01-May,896 sq.ft,750 sq.ft,Bike and Car,Partial ,Semi,East,Yes,09-Oct-23
2 BHK Flat  In Blossom Housing Society For Sale  In Wakad,61 Lacs,860,Blossom Housing Soc... ,2,2,1,5-10 years,Self Owned,12-Oct-23,2.9 per sq.ft/m,05-May,860 sq.ft,650 sq.ft,Car,Full ,Unfurnished,North,Yes,09-Oct-23
2 BHK Flat  In Vastukalp The Onyx For Sale  In Wakad,88 Lacs,"1,000",Vastukalp The Onyx ,2,2,2,3-5 years,Self Owned,12-Oct-23,3.5 per sq.ft/m,01-Dec,"1,000 sq.ft",785 sq.ft,Bike and Car,None ,Semi,East,Yes,09-Oct-23
